name,category,start,end,cost,mid,year,display_name
South/ Southeast Tornadoes,severe-storm,2016-04-26,2016-05-02,2.5,2016-04-29,2016,South/Southeast Tornadoes
Minnesota Severe Storms/ Hail,severe-storm,1998-05-15,1998-05-15,2.5,1998-05-15,1998,Minnesota Severe Storms/Hail
Minnesota Hail Storm and Upper Midwest Severe Weather,severe-storm,2017-06-09,2017-06-16,2.5,2017-06-12,2017,Minnesota Hail Storm and Upper Midwest Severe Weather
Midwest/ Plains/ East Tornadoes,severe-storm,2013-05-18,2013-05-22,2.5,2013-05-20,2013,Midwest/Plains/East Tornadoes
Texas and Louisiana Flooding,flooding,2016-03-08,2016-03-12,2.4,2016-03-10,2016,Texas and Louisiana Flooding
Southeast/ Midwest Tornadoes,severe-storm,2011-04-08,2011-04-11,2.4,2011-04-09,2011,Southeast/Midwest Tornadoes
California Wildfires,drought-wildfire,1993-09-01,1993-11-30,2.4,1993-10-16,1993,California Wildfires
Midwest/ Southeast/ Northeast Winter Storm,winter-storm-freeze,2014-01-05,2014-01-08,2.3,2014-01-06,2014,Midwest/Southeast/Northeast Winter Storm
Midwest/ Southeast Tornadoes,severe-storm,2011-04-14,2011-04-16,2.3,2011-04-15,2011,Midwest/Southeast Tornadoes
Southern Severe Storms and Flooding,flooding,1980-04-10,1980-04-17,2.2,1980-04-13,1980,Southern Severe Storms and Flooding
Southeast Drought/ Heat Wave,drought-wildfire,1993-06-01,1993-08-31,2.2,1993-07-16,1993,Southeast Drought/Heat Wave
Missouri River flooding,flooding,2011-05-01,2011-06-30,2.2,2011-05-31,2011,Missouri River flooding
Colorado Hail Storm and Central Severe Weather,severe-storm,2017-05-08,2017-05-11,2.2,2017-05-09,2017,Colorado Hail Storm and Central Severe Weather
Texas Tornadoes and Midwest Flooding,severe-storm,2015-12-26,2015-12-29,2.1,2015-12-27,2015,Texas Tornadoes and Midwest Flooding
Southeast Severe Weather,severe-storm,2013-03-18,2013-03-18,2.1,2013-03-18,2013,Southeast Severe Weather
South/ Southeast Severe Weather,severe-storm,2017-03-26,2017-03-28,2.1,2017-03-27,2017,South/Southeast Severe Weather
South Carolina and East Coast Flooding,flooding,2015-10-01,2015-10-05,2.1,2015-10-03,2015,South Carolina and East Coast Flooding
Northeast Ice Storm,winter-storm-freeze,1998-01-05,1998-01-09,2.1,1998-01-07,1998,Northeast Ice Storm
Northeast Flooding,flooding,2010-03-01,2010-03-31,2.1,2010-03-16,2010,Northeast Flooding
North Texas Hail Storm,severe-storm,2016-03-23,2016-03-24,2.1,2016-03-23,2016,North Texas Hail Storm
Midwest Tornado Outbreak,severe-storm,2017-03-06,2017-03-08,2.1,2017-03-07,2017,Midwest Tornado Outbreak
Hurricane Gloria,tropical-cyclone,1985-09-26,1985-09-28,2,1985-09-27,1985,Hurricane Gloria
"Texas, New Mexico, Arizona Wildfires",drought-wildfire,2011-06-01,2011-11-30,2,2011-08-31,2011,"Texas, New Mexico, Arizona Wildfires"
Southeast/ Ohio Valley Severe Weather,severe-storm,2009-02-10,2009-02-11,2,2009-02-10,2009,Southeast/Ohio Valley Severe Weather
Rockies/ Central Plains Severe Weather,severe-storm,2014-06-03,2014-06-05,2,2014-06-04,2014,Rockies/Central Plains Severe Weather
Midwest/ Southeast Tornadoes,severe-storm,2006-04-06,2006-04-08,2,2006-04-07,2006,Midwest/Southeast Tornadoes
Groundhog Day Blizzard,winter-storm-freeze,2011-02-01,2011-02-03,2,2011-02-02,2011,Groundhog Day Blizzard
"Winter Storm, Cold Wave",winter-storm-freeze,1985-01-19,1985-01-22,1.9,1985-01-20,1985,"Winter Storm, Cold Wave"
Hurricane Allen,tropical-cyclone,1980-08-07,1980-08-11,1.9,1980-08-09,1980,Hurricane Allen
Western Wildfires,drought-wildfire,2012-06-01,2012-11-30,1.9,2012-08-31,2012,Western Wildfires
Southern Flooding,flooding,1990-05-11,1990-05-19,1.9,1990-05-15,1990,Southern Flooding
Northeast Flooding,flooding,2006-06-25,2006-06-28,1.9,2006-06-26,2006,Northeast Flooding
Midwest/ Southeast Tornadoes,severe-storm,2009-03-25,2009-03-28,1.9,2009-03-26,2009,Midwest/Southeast Tornadoes
Midwest/ Plains/ Northeast Tornadoes,severe-storm,2013-05-27,2013-05-31,1.9,2013-05-29,2013,Midwest/Plains/Northeast Tornadoes
Midwest/ Mid-Atlantic Severe Weather,severe-storm,2008-06-06,2008-06-12,1.9,2008-06-09,2008,Midwest/Mid-Atlantic Severe Weather
Midwest Drought,drought-wildfire,2005-03-01,2005-08-31,1.9,2005-05-31,2005,Midwest Drought
Western Fire Season,drought-wildfire,2002-09-01,2002-11-30,1.8,2002-10-16,2002,Western Fire Season
Plains Tornadoes and Central Severe Weather,severe-storm,2016-05-08,2016-05-11,1.8,2016-05-09,2016,Plains Tornadoes and Central Severe Weather
Numerous Wildfires,drought-wildfire,2006-01-01,2006-12-31,1.8,2006-07-02,2006,Numerous Wildfires
Midwest/ Southeast/ Northeast Tornadoes and Flooding,severe-storm,2014-04-27,2014-05-01,1.8,2014-04-29,2014,Midwest/Southeast/Northeast Tornadoes and Flooding
Central/ Southeast Tornado Outbreak,severe-storm,2017-02-28,2017-03-01,1.8,2017-02-28,2017,Central/Southeast Tornado Outbreak
"Midwest/ Southeast/ Northeast Winter Storm, Cold Wave",winter-storm-freeze,1982-01-08,1982-01-16,1.7,1982-01-12,1982,"Midwest/Southeast/Northeast Winter Storm, Cold Wave"
"Winter Storm, Cold Wave",winter-storm-freeze,1994-01-17,1994-01-20,1.7,1994-01-18,1994,"Winter Storm, Cold Wave"
Tropical Storm Alberto,tropical-cyclone,1994-07-07,1994-07-10,1.7,1994-07-08,1994,Tropical Storm Alberto
Texas Flooding,flooding,1994-10-16,1994-10-25,1.7,1994-10-20,1994,Texas Flooding
South/ Southeast Severe Weather & Tornadoes,severe-storm,2009-04-09,2009-04-10,1.7,2009-04-09,2009,South/Southeast Severe Weather & Tornadoes
"Severe Storms, Tornadoes",severe-storm,1998-05-30,1998-06-02,1.7,1998-05-31,1998,"Severe Storms, Tornadoes"
Severe Storms and Tornadoes,severe-storm,2006-03-08,2006-03-13,1.7,2006-03-10,2006,Severe Storms and Tornadoes
Missouri and Arkansas Flooding and Central Severe Weather,flooding,2017-04-25,2017-05-07,1.7,2017-05-01,2017,Missouri and Arkansas Flooding and Central Severe Weather
Midwest/ Southeast Tornadoes and Severe Weather,severe-storm,2011-06-18,2011-06-22,1.7,2011-06-20,2011,Midwest/Southeast Tornadoes and Severe Weather
Midwest/ Plains Tornadoes,severe-storm,1994-04-25,1994-04-27,1.7,1994-04-26,1994,Midwest/Plains Tornadoes
"Hail, Tornadoes",severe-storm,1992-04-28,1992-04-29,1.7,1992-04-28,1992,"Hail, Tornadoes"
California Freeze,winter-storm-freeze,2007-01-11,2007-01-17,1.7,2007-01-14,2007,California Freeze
Colorado Hail Storm,severe-storm,1990-07-11,1990-07-11,1.6,1990-07-11,1990,Colorado Hail Storm
Western Fire Season,drought-wildfire,2000-03-01,2000-08-31,1.6,2000-05-31,2000,Western Fire Season
Pacific Northwest Severe Flooding,flooding,1996-02-07,1996-02-12,1.6,1996-02-09,1996,Pacific Northwest Severe Flooding
Midwest/ Ohio Valley Severe Weather,severe-storm,2015-04-07,2015-04-09,1.6,2015-04-08,2015,Midwest/Ohio Valley Severe Weather
Colorado Flooding,flooding,2013-09-10,2013-09-16,1.6,2013-09-13,2013,Colorado Flooding
